"Accession","Min_1","Min_2","Gene","Protein"
"P40477",3.20317735770589e-05,2.99665247166643e-05,"YIL115C","NUP159"
"P40480",9.03277374224474e-07,7.39982199532438e-07,"YIL112W","HOS4"
"P40481",7.97134232453834e-06,7.14373707130603e-06,"YIL110W","HPM1"
"P40482",0.00051160128665325,0.000550866424853463,"YIL109C","SEC24"
"P40483",3.4246614450558e-05,3.67125621698415e-05,"YIL108W","YIL108W"
"P40485",2.89415367017905e-05,2.61564926417081e-05,"YIL105C","SLM1"
"P40486",1.88875233368132e-05,1.53846544433211e-05,"YIL104C","SHQ1"
"P40487",1.25417109098954e-05,1.25976189226002e-05,"YIL103W","DPH1"
"P40491",7.76399311617301e-06,6.69141602886121e-06,"YIL098C","FMC1"
"P40492",3.35538163874135e-06,3.06582645496987e-06,"YIL097W","FYV10"
"P40493",5.82966498438876e-06,6.59754377457566e-06,"YIL096C","BMT5"
"P40494",2.20938994172151e-07,3.38298653734753e-07,"YIL095W","PRK1"
"P40495",0.00100650447303036,0.000912194728208566,"YIL094C","LYS12"
"P40496",2.72043316860852e-06,3.10187262563993e-06,"YIL093C","RSM25"
"P40498",4.53138368890474e-05,4.53101375650207e-05,"YIL091C","UTP25"
"P40501",1.74462180008232e-05,1.28841467173351e-05,"YIL088C","AVT7"
"P40504",3.02196812306367e-06,2.9682383921376e-06,"YIL085C","KTR7"
"P40505",7.95513018430182e-06,6.02956135424602e-06,"YIL084C","SDS3"
"P40506",4.23577141850628e-05,3.72864465279967e-05,"YIL083C","CAB2"
"P40509",9.75168823466674e-05,6.84554430079091e-05,"YIL076W","SEC28"
"P40510",0.000235313622580696,0.000222211755352575,"YIL074C","SER33"
"P40513",7.7126671767585e-06,7.80990277988897e-06,"YIL070C","MAM33"
"P40515",3.30755189521803e-05,3.00891581957946e-05,"YIL065C","FIS1"
"P40517",1.0797206995333e-05,8.9650474875259e-06,"YIL063C","YRB2"
"P40518",6.14437432838833e-05,5.01802504323612e-05,"YIL062C","ARC15"
"P40522",6.9095400639685e-07,6.5227361826828e-07,"YIL056W","VHR1"
"P40523",2.70924132002307e-06,2.75846654427585e-06,"YIL055C","YIL055C"
"P40525",0.00193598133828616,0.00220337235887526,"YIL052C","RPL34B"
"P40527",2.97415626590852e-05,2.77143553843605e-05,"YIL048W","NEO1"
"P40529",5.15842935941691e-06,4.38137967217703e-06,"YIL044C","AGE2"
"P40531",0.000559857153928495,0.0005259680432307,"YIL041W","GVP36"
"P40533",0.000159803616627709,0.000127039446026844,"YIL039W","TED1"
"P40540",0.000116444193089217,8.40889314937026e-05,"YIL027C","EMC5"
"P40541",3.84134465050489e-05,3.04630006158962e-05,"YIL026C","IRR1"
"P40545",1.15219447402989e-05,9.32915039827825e-06,"YIL020C","HIS6"
"P40547",1.77796606668713e-05,2.19651475082368e-05,"YIL017C","VID28"
"P40548",3.38162471460099e-05,2.71607562089349e-05,"YIL016W","SNL1"
"P40549",4.74359200942795e-06,4.02852370971464e-06,"YIL014W","MNT3"
"P40553",7.8416855846687e-06,8.1987314711819e-06,"YIL010W","DOT5"
"P40557",2.18613542504544e-05,2.24695752293415e-05,"YIL005W","EPS1"
"P40559",3.47171936713447e-06,3.08783713455806e-06,"YIL002C","INP51"
"P40560",4.25172445856946e-06,3.41533487525058e-06,"YIL001W","YIL001W"
"P40562",4.54094867400823e-06,4.21883531150919e-06,"YIR002C","MPH1"
"P40563",7.44079084052406e-06,9.25388816657097e-06,"YIR003W","AIM21"
"P40564",9.3095450035685e-05,7.65252916747969e-05,"YIR004W","DJP1"
"P40566",3.51054353286527e-06,3.35519038896733e-06,"YIR007W","YIR007W"
"P40570",9.97116975475474e-07,8.57328443409549e-07,"YIR014W","YIR014W"
"P40573",2.80334660162577e-06,2.91771145941422e-06,"YIR017C","MET28"
"P40579",3.18220159907804e-07,2.93912349002165e-07,"YIR035C","YIR035C"
"P40580",4.4706404062673e-05,4.72621861876031e-05,"YIR036C","IRC24"
"P40581",0.000105270054531511,8.15555250885733e-05,"YIR037W","HYR1"
"P40582",4.88145600935018e-05,3.94443177745641e-05,"YIR038C","GTT1"
"P40693",0.000801827026688232,0.000801343980871058,"YNL002C","RLP7"
"P40825",0.00173338091665656,0.00151691895846678,"YOR335C","ALA1"
"P40850",0.000217118485481665,0.000176165960823181,"YNL085W","MKT1"
"P40851",9.5895052610013e-06,9.79163884324897e-06,"YPR122W","AXL1"
"P40856",3.47186083710283e-05,2.92063192528646e-05,"YJL098W","SAP185"
"P40857",7.64398488004527e-05,5.6657372313834e-05,"YJL097W","PHS1"
"P40893",2.31036043108587e-06,2.89492873184164e-06,"YJL217W","REE1"
"P40896",4.02652560842145e-05,3.65967926307842e-05,"YJL213W","YJL213W"
"P40956",5.42729787589721e-06,6.87684228360447e-06,"YGL181W","GTS1"
"P40957",8.36363904165528e-06,7.1828279577714e-06,"YGL086W","MAD1"
"P40959",3.14876571723197e-05,2.56375888823782e-05,"YMR004W","MVP1"
"P40961",0.000332563975497554,0.000318173611468123,"YGR132C","PHB1"
"P40962",1.2164060289308e-07,1.10216924902664e-07,"YOR077W","RTS2"
"P40963",5.84841346615093e-07,5.54237559638528e-07,"YMR127C","SAS2"
"P40969",3.69228006562945e-06,2.98485325555655e-06,"YMR168C","CEP3"
"P40970",6.96701253302215e-05,6.7794554534467e-05,"YDR062W","LCB2"
"P40986",3.57844811545507e-05,3.07882861776433e-05,"YDR182W","CDC1"
"P40987",3.23273088394466e-06,4.00795932512492e-06,"YOR349W","CIN1"
"P40989",1.27863300990783e-05,1.1564467833505e-05,"YGR032W","GSC2"
"P40990",6.43148680076118e-06,6.81509630091746e-06,"YDL107W","MSS2"
"P40991",0.000227959766341315,0.000231701901643776,"YNL061W","NOP2"
"P40994",1.52043118101146e-06,1.50207459158807e-06,"YOR094W","ARF3"
"P41056",8.08214238760352e-06,8.05135757954098e-06,"YOR234C","RPL33B"
"P41057",0.000878091631861854,0.000936381779534399,"YLR388W","RPS29A"
"P41058",0.000254760656394128,0.000289514792924672,"YDL061C","RPS29B"
"P41277",0.000647115852556963,0.000735825897437487,"YIL053W","GPP1"
"P41338",0.000435070907663512,0.000447864946738811,"YPL028W","ERG10"
"P41543",8.60619929681839e-05,7.26454529456171e-05,"YJL002C","OST1"
"P41697",1.37929273072667e-05,1.1930328852177e-05,"YLR319C","BUD6"
"P41733",2.61348339835205e-05,2.14878353524224e-05,"YLR459W","GAB1"
"P41734",1.48748206541966e-05,1.27718861528348e-05,"YOR126C","IAH1"
"P41800",1.75680940864682e-05,1.68637337095667e-05,"YLL006W","MMM1"
"P41805",0.00447936712321867,0.00543260624657701,"YLR075W","RPL10"
"P41807",0.000226652897060776,0.000174004042037431,"YPR036W","VMA13"
"P41810",0.000236997503651801,0.000182609223148195,"YDR238C","SEC26"
"P41811",0.000323310374747299,0.000344771628712029,"YGL137W","SEC27"
"P41812",6.71970631556221e-06,6.88601531425961e-06,"YNL221C","POP1"
"P41814",1.27152769736379e-05,1.01806155362004e-05,"YNL062C","GCD10"
"P41815",1.72178693236592e-07,1.64771500282281e-07,"YDR046C","BAP3"
"P41816",7.17881479868702e-06,6.86770806273025e-06,"YPL171C","OYE3"
"P41818",1.46973137139113e-06,1.26713814952793e-06,"YMR311C","GLC8"
"P41819",6.36875912919144e-05,6.51576093364148e-05,"YPL266W","DIM1"
"P41832",8.76006705479674e-06,7.07493407462951e-06,"YNL271C","BNI1"
"P41834",1.85436531403557e-05,1.55783321145008e-05,"YOR075W","UFE1"
"P41895",1.6971516630196e-05,1.87935905479766e-05,"YGR186W","TFG1"
"P41896",1.18187521403815e-05,9.15734218073533e-06,"YGR005C","TFG2"
"P41910",1.89661233493331e-05,1.55918812516756e-05,"YDR005C","MAF1"
"P41911",0.000138589150069353,0.000126638370324874,"YOL059W","GPD2"
"P41920",1.2661480929755e-05,1.37751935393959e-05,"YDR002W","YRB1"
"P41921",5.03422800671029e-05,5.21835302337013e-05,"YPL091W","GLR1"
"P41939",0.000124421302627556,0.0001328319625914,"YLR174W","IDP2"
"P41940",0.000427823228090781,0.000621490830576772,"YDL055C","PSA1"
"P42073",4.82862150597616e-06,4.22400216599384e-06,"YDR195W","REF2"
"P42826",1.92147380958941e-05,1.92230412226073e-05,"YGR194C","XKS1"
"P42837",1.18619867546617e-05,1.03149622516925e-05,"YNL325C","FIG4"
"P42838",8.70512735663149e-05,7.25951152636898e-05,"YNL323W","LEM3"
"P42839",1.83580161397916e-06,1.633736333339e-06,"YNL321W","VNX1"
"P42840",1.68017670867898e-05,1.49113825911492e-05,"YNL320W","YNL320W"
"P42842",7.75906634863878e-05,6.62870754662395e-05,"YNL313C","EMW1"
"P42843",4.988012879673e-06,4.46929237560231e-06,"YNL311C","SKP2"
"P42846",0.00015932385703302,0.00013379547365099,"YNL308C","KRI1"
"P42847",2.23429989017294e-05,2.62465006182378e-05,"YNL306W","MRPS18"
"P42934",2.31760806591434e-06,2.03694288382704e-06,"YGR199W","PMT6"
"P42935",8.11408869319788e-05,8.03416583037893e-05,"YGR200C","ELP2"
"P42937",1.54849131337814e-05,1.34505363909881e-05,"YGR203W","YCH1"
"P42938",1.24458685625587e-05,1.67097287204594e-05,"YGR205W","TDA10"
"P42940",0.000174560080295087,0.000185550231168872,"YGR207C","CIR1"
"P42941",7.5670972454757e-05,5.62123510430896e-05,"YGR208W","SER2"
"P42942",1.28428285235565e-05,1.13206283701501e-05,"YGR210C","YGR210C"
"P42943",0.000401664078674719,0.000294456120223317,"YJL111W","CCT7"
"P42945",0.000281092863031471,0.00024170111251557,"YJL109C","UTP10"
"P42949",7.8368102554823e-05,7.26883730617276e-05,"YJL104W","PAM16"
"P42951",2.01476244940129e-06,1.70884473591463e-06,"YJL100W","LSB6"
"P43123",4.68457303445922e-05,4.22445885015967e-05,"YDL103C","QRI1"
"P43124",1.24354645796192e-06,1.17935503601959e-06,"YDL105W","NSE4"
"P43535",3.94074115718836e-05,3.88360971539543e-05,"YFR009W","GCN20"
"P43545",1.59757086029843e-05,1.94218755819338e-05,"YFL059W","SNZ3"
"P43554",1.41916278997783e-05,1.37090722514896e-05,"YFL049W","SWP82"
"P43555",1.97114103183882e-05,1.56258563087144e-05,"YFL048C","EMP47"
"P43556",2.32538624681333e-05,1.92770219468312e-05,"YFL047W","RGD2"
"P43557",9.63199638663511e-06,8.44929121371993e-06,"YFL046W","FMP32"
"P43560",8.44696172205647e-06,6.76456697421563e-06,"YFL042C","LAM5"
"P43561",5.94815700552676e-05,5.72060976981967e-05,"YFL041W","FET5"
"P43564",6.74355281757466e-06,6.99171165858082e-06,"YFL034W","YFL034W"
"P43565",5.44710883536022e-06,4.69220799306067e-06,"YFL033C","RIM15"
"P43567",1.85394624683207e-05,1.78167610609106e-05,"YFL030W","AGX1"
"P43569",2.89506140724147e-05,2.67058326032359e-05,"YFL028C","CAF16"
"P43571",5.55463991898075e-07,4.4158477346113e-07,"YFL025C","BST1"
"P43573",4.77420521869247e-06,3.98369588185066e-06,"YFL023W","BUD27"
"P43579",2.52987697558103e-06,2.30445329452e-06,"YFL013C","IES1"
"P43583",3.45584135049515e-05,2.86726794304568e-05,"YFL007W","BLM10"
"P43585",9.5596960687362e-05,9.64454850687448e-05,"YFL004W","VTC2"
"P43586",5.81780020796859e-05,6.13526553448037e-05,"YFR001W","LOC1"
"P43587",1.37608787634398e-05,1.11507416654444e-05,"YFR003C","YPI1"
"P43588",0.000127791330170875,0.000148620286855668,"YFR004W","RPN11"
"P43589",6.40943987676686e-07,5.43950634582459e-07,"YFR005C","SAD1"
"P43590",4.15069738502797e-05,4.15200285057245e-05,"YFR006W","YFR006W"
"P43591",5.98671921222768e-06,5.58328423403877e-06,"YFR007W","YFH7"
"P43593",0.000108209850559227,9.28163781103032e-05,"YFR010W","UBP6"
"P43594",1.31514501294099e-06,1.45701218472338e-06,"YFR011C","MIC19"
"P43596",1.45822389404609e-05,1.24853590379844e-05,"YFR013W","IOC3"
"P43597",2.09967780418312e-06,2.43788602115194e-06,"YFR016C","YFR016C"
"P43601",3.88695872028313e-06,3.89611651452634e-06,"YFR021W","ATG18"
"P43603",1.57127862172095e-05,1.75430580119088e-05,"YFR024C-A","LSB3"
"P43609",7.32196428514133e-05,6.26863271457408e-05,"YFR037C","RSC8"
"P43610",2.9928905702189e-06,2.24915670571359e-06,"YFR038W","IRC5"
"P43611",2.17999875995572e-05,1.69340312674197e-05,"YFR039C","OSW7"
"P43612",7.97675850764048e-05,6.43586922852719e-05,"YFR040W","SAP155"
"P43613",5.13275517004877e-06,4.96199677560666e-06,"YFR041C","ERJ5"
"P43615",6.70113087202836e-07,5.59140730681515e-07,"YFR043C","IRC6"
"P43616",0.000276886922620516,0.000313730752713877,"YFR044C","DUG1"
"P43617",8.55787573226356e-06,8.01690660625312e-06,"YFR045W","YFR045W"
"P43619",0.00017699767477842,0.000159978968048359,"YFR047C","BNA6"
"P43620",2.889027134455e-06,2.26996494871175e-06,"YFR048W","RMD8"
"P43621",0.000229983135874954,0.000234157732741795,"YFR051C","RET2"
"P43633",2.29748624644182e-06,2.8984650823883e-06,"YGL021W","ALK1"
"P43634",4.13914332182562e-06,3.9245596065725e-06,"YLR098C","CHA4"
"P43635",1.17373757119203e-05,1.26102879750621e-05,"YPR001W","CIT3"
"P43636",9.06768732845962e-06,7.83083972111056e-06,"YGL065C","ALG2"
"P43638",2.60132681268051e-05,2.46390648837149e-05,"YJL042W","MHP1"
"P43639",5.0357188256028e-05,5.05867407062827e-05,"YGL019W","CKB1"
"P43682",1.33613697810374e-05,1.06872281986544e-05,"YKL006C-A","SFT1"
"P45818",5.67373358419963e-05,5.19710605859927e-05,"YGL171W","ROK1"
"P46151",7.54957192740445e-05,6.36366806717433e-05,"YPL023C","MET12"
"P46367",0.000681261223055928,0.000642719221994918,"YOR374W","ALD4"
"P46654",0.0141208645702994,0.0174586109516844,"YLR048W","RPS0B"
"P46655",0.00163691009788813,0.00172279000964666,"YGL245W","GUS1"
"P46669",9.77939528687991e-06,1.15066676724282e-05,"YOR340C","RPA43"
"P46672",0.000176419073915485,0.000173166646368794,"YGL105W","ARC1"
"P46673",2.48857687788795e-05,2.05258391972065e-05,"YJR042W","NUP85"
"P46674",9.86750083469455e-07,9.13576540209741e-07,"YDR159W","SAC3"
"P46675",2.13625169055768e-05,2.01666190054838e-05,"YLR045C","STU2"
"P46676",6.81742136281101e-07,5.87005238331821e-07,"YDR310C","SUM1"
"P46677",5.75903905224373e-06,4.64104891098425e-06,"YGR274C","TAF1"
"P46680",1.19124419391503e-05,1.683167764382e-05,"YMR092C","AIP1"
"P46681",4.20443576685524e-05,5.97946540548826e-05,"YDL178W","DLD2"
"P46682",8.01973093232752e-05,6.4277118256883e-05,"YGR261C","APL6"
"P46683",5.76711680559391e-05,4.03784083268641e-05,"YPL239W","YAR1"
"P46784",0.00274951777772913,0.00355265715658655,"YMR230W","RPS10B"
"P46944",1.21780183568385e-05,1.0101639370325e-05,"YDR108W","TRS85"
"P46948",1.40909972310679e-05,1.48271964900563e-05,"YGR195W","SKI6"
"P46951",3.46669544710382e-05,2.9003439844982e-05,"YGR198W","YPP1"
"P46956",4.25838610410342e-05,2.87451564761503e-05,"YJL117W","PHO86"
"P46957",9.76712059580134e-06,7.88569049708988e-06,"YJR006W","POL31"
"P46959",1.5958865797511e-05,1.7633961595887e-05,"YJL125C","GCD14"
"P46961",3.03674074761352e-07,2.52445531440821e-07,"YPL076W","GPI2"
"P46962",4.41001650853861e-06,4.19737901043319e-06,"YJL006C","CTK2"
"P46963",6.23576663694253e-06,6.141016094972e-06,"YML112W","CTK3"
"P46964",4.49704004025575e-05,3.79732593736901e-05,"YOR103C","OST2"
"P46965",6.83056963306861e-06,6.53079049430856e-06,"YJR010C-A","SPC1"
"P46969",8.91617582571705e-05,9.70767783126337e-05,"YJL121C","RPE1"
"P46970",7.79380814998562e-05,6.2832550019736e-05,"YJR132W","NMD5"
"P46971",2.15176938523313e-05,1.61407650564163e-05,"YJR143C","PMT4"
"P46982",4.97768251851046e-05,3.81352893992361e-05,"YJL186W","MNN5"
"P46985",4.09423576758145e-05,4.09276703166514e-05,"YJL183W","MNN11"
"P46988",5.06306590683429e-07,5.87500366040243e-07,"YJL179W","PFD1"
"P46989",3.87969294839315e-05,2.82391838633787e-05,"YJL178C","ATG27"
"P46990",0.000146009761932687,0.00017314469889822,"YJL177W","RPL17B"
"P46992",5.06565343030256e-05,5.09702740859732e-05,"YJL171C","YJL171C"
"P46995",7.87372542261423e-06,6.72833615032067e-06,"YJL168C","SET2"
"P47005",2.99281074311504e-07,2.26538497133539e-07,"YJL149W","DAS1"
"P47006",1.45838587525384e-05,1.68380123471945e-05,"YJL148W","RPA34"
"P47008",0.000105892075086017,8.71250130410019e-05,"YJL145W","SFH5"
"P47013",2.52272194478503e-06,2.23760689295899e-06,"YJL134W","LCB3"
"P47018",0.000208948825940137,0.000170702877368393,"YJL123C","MTC1"
"P47019",1.95079683111559e-05,2.17304233333763e-05,"YJL122W","ALB1"
"P47025",3.93925513474755e-06,3.68233204891473e-06,"YJL112W","MDV1"
"P47031",2.73859309646034e-05,2.44038742743217e-05,"YJL082W","IML2"
"P47035",6.57046332220646e-06,6.28676767845364e-06,"YJL076W","NET1"
"P47037",7.45118768299867e-05,6.84271139830272e-05,"YJL074C","SMC3"
"P47039",8.21836767297416e-05,8.29056651757783e-05,"YJL060W","BNA3"
"P47042",1.87331561736536e-06,1.5316125978917e-06,"YJL057C","IKS1"
"P47044",0.00010643205536968,9.87820855698377e-05,"YJL055W","YJL055W"
"P47045",3.59183419995105e-05,3.1541946529226e-05,"YJL054W","TIM54"
"P47047",0.000199324399079542,0.000183460194321385,"YJL050W","MTR4"
"P47048",9.25640656796735e-06,7.82895243983016e-06,"YJL049W","YJL049W"
"P47050",1.66560834421404e-06,1.5899286680568e-06,"YJL047C","RTT101"
"P47051",4.80085986182221e-06,4.58019113051681e-06,"YJL046W","AIM22"
"P47052",2.84224529645967e-07,3.0783659653487e-07,"YJL045W","YJL045W"
"P47054",8.73231282103322e-05,7.01158767301055e-05,"YJL039C","NUP192"
"P47057",6.56158330932787e-06,5.59039026962602e-06,"YJL036W","SNX4"
"P47061",1.45504538327785e-05,1.25515454270883e-05,"YJL029C","VPS53"
"P47064",1.42010747916282e-05,1.27647231712689e-05,"YJL024C","APS3"
"P47068",4.04738461026975e-05,4.22257437459706e-05,"YJL020C","BBC1"
"P47069",1.62097773010988e-05,1.50348677305334e-05,"YJL019W","MPS3"
"P47075",0.000154397589611527,0.000137967970894259,"YJL012C","VTC4"
"P47076",2.75928552609127e-05,2.98172670382126e-05,"YJL011C","RPC17"
"P47077",8.63919866833658e-05,6.6516895905548e-05,"YJL010C","NOP9"
"P47079",0.000602413772385751,0.000605306766858863,"YJL008C","CCT8"
"P47081",2.26696379778281e-06,2.15271330593425e-06,"YJL003W","COX16"
"P47082",1.85028335959504e-05,2.15230358731426e-05,"YJR001W","AVT1"
"P47083",6.53204869433633e-05,5.55009020345865e-05,"YJR002W","MPP10"
"P47084",4.51396474081539e-05,3.61795650336177e-05,"YJR003C","MRX12"
"P47088",2.49251911057909e-06,1.86558816710788e-06,"YJR013W","GPI14"
"P47095",5.12823742665595e-06,4.22921485512312e-06,"YJR024C","MDE1"
"P47096",1.99495358027838e-05,2.41486273684425e-05,"YJR025C","BNA1"
"P47100",0.00119234283781486,0.00133134790141214,"YJR029W","TY1B-JR2"
"P47102",1.91319890947798e-05,1.50934098480269e-05,"YJR031C","GEA1"
"P47103",2.87301511530973e-05,2.82966836216082e-05,"YJR032W","CPR7"
"P47104",5.49689266175223e-06,4.65649273254513e-06,"YJR033C","RAV1"
"P47108",7.91118061211574e-05,6.10114473520929e-05,"YJR041C","URB2"
"P47112",2.35769277444742e-05,1.98102389044914e-05,"YJR046W","TAH11"
"P47116",4.60110077498259e-06,4.19993830615615e-06,"YJR059W","PTK2"
"P47117",0.000328944015780396,0.000316086613928248,"YJR065C","ARP3"
"P47118",1.22843320827495e-06,9.69135403493532e-07,"YJR067C","YAE1"
"P47119",7.08121730701461e-05,5.16256671122741e-05,"YJR069C","HAM1"
"P47120",0.000341815535520787,0.000306136979199333,"YJR070C","LIA1"
"P47122",7.72438164877926e-05,7.69647520975579e-05,"YJR072C","NPA3"
"P47124",0.000154637972253325,0.000120900860200778,"YJR075W","HOC1"
"P47125",2.25399207775243e-05,1.7651296976303e-05,"YJR078W","BNA2"
"P47127",9.86382547109319e-06,1.05813580589908e-05,"YJR080C","AIM24"
"P47130",9.43255022220948e-06,8.58854594063314e-06,"YJR084W","CSN12"
"P47133",5.09229396139229e-05,4.13491502224988e-05,"YJR088C","EMC2"
"P47135",4.00974784185198e-06,3.2339581107392e-06,"YJR091C","JSN1"
"P47136",6.14423188435768e-06,5.83233484299811e-06,"YJR092W","BUD4"
"P47137",7.78632527784103e-06,8.32620698895678e-06,"YJR096W","YJR096W"
"P47138",1.72286581894204e-05,1.58675919070204e-05,"YJR097W","JJJ3"
"P47141",2.24613442085655e-06,2.51628948311873e-06,"YJR101W","RSM26"
"P47143",8.73135133284597e-05,8.01062631665377e-05,"YJR105W","ADO1"
"P47148",1.95216139609769e-05,2.15930510949362e-05,"YJR111C","YJR111C"
"P47150",5.9147173903556e-05,4.87940112436605e-05,"YJR113C","RSM7"
"P47154",0.000451396372546365,0.000389262670125949,"YJR117W","STE24"
"P47155",2.22383059707564e-05,1.77100483773769e-05,"YJR118C","ILM1"
"P47158",3.00388768956179e-06,2.51927531019039e-06,"YJR122W","IBA57"
"P47159",2.45268298566181e-05,1.95113570849028e-05,"YJR124C","YJR124C"
"P47160",6.60372621480166e-05,5.34829484214604e-05,"YJR125C","ENT3"
"P47164",1.44210187971146e-05,1.48728200817059e-05,"YJR130C","STR2"
"P47165",1.39689643364707e-05,1.28895683649844e-05,"YJR133W","XPT1"
"P47166",3.43087066154684e-06,3.0586061914739e-06,"YJR134C","SGM1"
"P47169",0.00311110098178595,0.00288610663760466,"YJR137C","MET5"
"P47170",1.4718231989179e-05,1.47971323427877e-05,"YJR138W","IML1"
"P47171",8.184611937713e-06,6.63065343555583e-06,"YJR140C","HIR3"
"P47173",1.63314120486514e-05,1.55984909806291e-05,"YJR142W","YJR142W"
"P47176",1.11196254370614e-05,1.46877631601693e-05,"YJR148W","BAT2"
"P47187",2.25553996921831e-07,1.85584389873177e-07,"YJR161C","COS5"
"P47190",2.42106974538582e-06,3.65829606490728e-06,"YOR321W","PMT3"
"P47818",5.162108115091e-05,4.10977743107078e-05,"YLR220W","CCC1"
"P47912",3.7532537627353e-05,3.08994973662481e-05,"YMR246W","FAA4"
"P47988",6.15864508189193e-06,5.12657772165161e-06,"YOR337W","TEA1"
"P48015",0.000385235065342861,0.000439574537355195,"YDR019C","GCV1"
"P48164",0.00018972258347633,0.000221267888452336,"YNL096C","RPS7B"
"P48231",1.19168405353338e-05,1.22909196717228e-05,"YNL087W","TCB2"
"P48234",1.75475704193624e-05,1.76395354975099e-05,"YGR145W","ENP2"
"P48237",8.10882532464733e-06,7.36139073940252e-06,"YGR150C","CCM1"
"P48360",4.42703998835687e-06,4.88057615870917e-06,"YDR376W","ARH1"
"P48361",6.66067369813319e-06,5.4198113107284e-06,"YGR097W","ASK10"
"P48362",0.000225820844299519,0.000179476120783911,"YGR187C","HGH1"
"P48363",2.40414322185263e-05,2.12632710746889e-05,"YGR078C","PAC10"
"P48365",5.6592087369776e-06,4.68972138421949e-06,"YDL234C","GYP7"
"P48412",3.48934728107505e-06,3.7600166906635e-06,"YGR072W","UPF3"
"P48415",2.54939426388729e-05,2.70635549224776e-05,"YPL085W","SEC16"
"P48439",9.08187965429924e-05,7.71470621748195e-05,"YOR085W","OST3"
"P48445",2.89462645580637e-06,3.30146636653295e-06,"YDL141W","BPL1"
"P48510",0.000119319305875712,0.000143462057258663,"YMR276W","DSK2"
"P48524",4.33396994785934e-06,3.48723314906673e-06,"YMR275C","BUL1"
"P48525",3.11240479212744e-06,2.60821974250898e-06,"YOL033W","MSE1"
"P48526",1.96116157711421e-05,1.59733576547582e-05,"YPL040C","ISM1"
"P48527",2.26933559089529e-05,1.88297540356505e-05,"YPL097W","MSY1"
"P48559",2.91923441837461e-06,2.79858031875875e-06,"YNL304W","YPT11"
"P48562",1.82283958567763e-06,1.86789467987578e-06,"YNL298W","CLA4"
"P48563",4.46573273186456e-05,3.56030522172822e-05,"YNL297C","MON2"
"P48566",4.28677826210631e-06,3.90700897973833e-06,"YNL293W","MSB3"
"P48567",2.1358487863328e-05,1.98540160033654e-05,"YNL292W","PUS4"
"P48570",0.0011476766910164,0.00107922550368235,"YDL182W","LYS20"
"P48582",5.16114067336294e-05,4.54336978194441e-05,"YPL084W","BRO1"
"P48589",0.00668644264956302,0.00534596517976216,"YOR369C","RPS12"
"P48606",5.76228491156691e-05,3.64372435550245e-05,"YOR265W","RBL2"
"P48813",2.31391057350188e-05,1.93382138807376e-05,"YDR508C","GNP1"
"P48837",0.000135308096850315,0.000108693946014036,"YGR119C","NUP57"
"P49017",1.74807635808888e-05,2.23315260128444e-05,"YML110C","COQ5"
"P49089",0.000794482638069731,0.000792176532303191,"YPR145W","ASN1"
"P49090",0.000393710820193697,0.000406699358029605,"YGR124W","ASN2"
"P49095",0.000563097942315001,0.000610461512025649,"YMR189W","GCV2"
"P49166",0.000154782692562686,0.000187602772514764,"YLR185W","RPL37A"
"P49167",0.002240274409773,0.00248692372057496,"YLR325C","RPL38"
"P49334",3.48724829599334e-06,3.36845588651409e-06,"YNL131W","TOM22"
"P49367",0.000133789217550398,0.000126028916099657,"YDR234W","LYS4"
"P49435",0.0001697194667513,0.000125541305825543,"YML022W","APT1"
"P49573",2.78088723802288e-06,1.89742467543609e-06,"YPR124W","CTR1"
"P49687",4.40827950409982e-05,3.83705472860778e-05,"YGL092W","NUP145"
"P49723",0.000625337079122149,0.00061430344780783,"YGR180C","RNR4"
"P49775",6.08708667760484e-07,5.93159200741215e-07,"YDR305C","HNT2"
"P49954",0.000108514385752099,9.71063115510728e-05,"YLR351C","NIT3"
"P49955",1.78714058823164e-05,1.55600860354873e-05,"YMR288W","HSH155"
"P49956",1.27452519460098e-05,1.01921321740975e-05,"YMR078C","CTF18"
"P49957",3.67982736595388e-06,4.43573033409975e-06,"YML014W","TRM9"
"P50077",5.89601648234624e-06,5.21390950243692e-06,"YGR217W","CCH1"
"P50079",7.95244619053799e-07,8.2082147221194e-07,"YGR223C","HSV2"
"P50085",0.000164262176662207,0.000174666703056815,"YGR231C","PHB2"
"P50086",2.88774271735316e-05,2.19206775020542e-05,"YGR232W","NAS6"
"P50087",1.41277329659281e-05,1.14548843469233e-05,"YGR235C","MIC26"
"P50094",3.67028941067842e-05,4.31875557099627e-05,"YML056C","IMD4"
"P50095",0.000174952890343507,0.000226367705219578,"YLR432W","IMD3"
"P50101",3.77206199727173e-05,3.50001740388863e-05,"YMR304W","UBP15"
"P50102",5.38288118142762e-07,4.45063734253583e-07,"YMR223W","UBP8"
"P50105",6.09718119424973e-06,7.56448102835586e-06,"YMR005W","TAF4"
"P50107",8.98067716635075e-07,1.01062810556752e-06,"YML004C","GLO1"
"P50108",1.06067819833542e-05,1.06530628784543e-05,"YDR245W","MNN10"
"P50110",1.36654143022326e-05,1.17724855558741e-05,"YMR060C","SAM37"
"P50111",8.16389093536079e-07,8.04665626853414e-07,"YMR273C","ZDS1"
"P50273",3.39079541388142e-06,3.36234521457604e-06,"YDR350C","ATP22"
"P50276",0.000144898035508719,0.000114897398459866,"YGR055W","MUP1"
"P50278",6.25047425025793e-06,5.95143256494445e-06,"YNR034W","SOL1"
"P50623",1.37292137227297e-05,1.12996469011356e-05,"YDL064W","UBC9"
