"Accession","Gene","Protein","Min_1","Min_2","Rich_1","Rich_2"
"P38775","YHR045W","YHR045W",1.21240275046563e-05,1.00823545151175e-05,1.36456665714788e-05,1.35856369712286e-05
"P38777","YHR049W","FSH1",4.1184787306114e-05,5.10935069755215e-05,5.43124146556452e-05,5.59242105110379e-05
"P38779","YHR052W","CIC1",0.000104257295325348,9.74285262276335e-05,0.000126814592384685,0.000119760424008326
"P38781","YHR056C","RSC30",3.52566011544288e-06,3.17323419155137e-06,3.53828886311357e-06,3.56722433032865e-06
"P38784","YHR060W","VMA22",1.32277638161311e-05,1.30472854045598e-05,1.27571736514913e-05,1.16279520167221e-05
"P38786","YHR062C","RPP1",4.57597942427578e-05,4.00885570433979e-05,4.90516004058783e-05,5.03691799014848e-05
"P38787","YHR063C","PAN5",5.73921320424762e-05,7.2312822062423e-05,5.32747407634002e-05,5.25772518764618e-05
"P38788","YHR064C","SSZ1",0.00247037193659648,0.00229550105154879,0.0027653176109357,0.00258444072212877
"P38789","YHR066W","SSF1",1.07766350384208e-05,1.01966725205011e-05,1.20118040782769e-05,1.27230860256631e-05
"P38791","YHR068W","DYS1",0.00029288757389671,0.000272821676645414,0.000288199888778582,0.000285310334430421
"P38792","YHR069C","RRP4",1.58446793644247e-05,1.77967339282213e-05,1.86032628307144e-05,1.76411648486731e-05
"P38793","YHR070W","TRM5",2.40071500101759e-05,2.76603805173866e-05,2.48178277729945e-05,2.5894617872431e-05
"P38795","YHR074W","QNS1",6.93354432309601e-05,5.89282345000705e-05,7.03856059791511e-05,6.89220912284161e-05
"P38797","YHR076W","PTC7",1.48955697856167e-05,1.9759741992112e-05,1.58526162118339e-05,1.67137550816969e-05
"P38798","YHR077C","NMD2",1.14783612764029e-05,9.6916379095216e-06,1.2112523608492e-05,1.23478728582644e-05
"P38799","YHR078W","YHR078W",1.67610982128533e-06,1.75576397186295e-06,1.59248223580064e-06,1.53957626633494e-06
"P38801","YHR081W","LRP1",7.20388103837643e-06,6.07246061288553e-06,7.79053615170299e-06,7.80608529442507e-06
"P38803","YHR085W","IPI1",9.32978191974241e-06,1.00954337281123e-05,1.0850423041198e-05,1.07519966666125e-05
"P38805","YHR088W","RPF1",3.39173155345562e-05,3.66534546310926e-05,4.22852315599574e-05,4.22973255960048e-05
"P38810","YHR098C","SFB3",0.000209864624622234,0.00017406923353452,0.000240045783651361,0.000240684782442165
"P38811","YHR099W","TRA1",7.77463946006924e-05,6.23848266564872e-05,7.97059525641238e-05,7.86688398148383e-05
"P38813","YHR101C","BIG1",4.44984325834542e-06,4.36909373833298e-06,4.75320566821346e-06,4.82871040201225e-06
"P38814","YHR103W","SBE22",4.15255356260909e-06,4.73807347871189e-06,4.81293026916106e-06,4.74890871228848e-06
"P38816","YHR106W","TRR2",2.52824504014444e-05,2.09036025538324e-05,2.24015159882291e-05,2.4561888844416e-05
"P38817","YHR108W","GGA2",0.000143164968569825,0.000118741816373583,0.000151516559466267,0.000150934475751489
"P38818","YHR109W","CTM1",3.24391789422889e-06,2.6684475369249e-06,4.03616928718767e-06,3.86910185568197e-06
"P38820","YHR111W","UBA4",1.6746452700813e-05,2.30592495059512e-05,1.99636615655815e-05,1.98859339049637e-05
"P38821","YHR113W","APE4",6.10748595532016e-05,5.50608234990228e-05,6.39470285776149e-05,6.46734212758207e-05
"P38822","YHR114W","BZZ1",1.48852924929627e-05,1.92928406637472e-05,2.02271609141502e-05,2.11587840376042e-05
"P38824","YHR116W","COX23",6.93436907240746e-06,7.32479007754718e-06,8.16850289533377e-06,8.2927919995106e-06
"P38825","YHR117W","TOM71",2.55324425821648e-05,2.59301335668132e-05,2.7507886900007e-05,2.88007541552155e-05
"P38826","YHR118C","ORC6",3.50625758290442e-06,3.37792939205532e-06,4.02979005715717e-06,3.18157806516258e-06
"P38827","YHR119W","SET1",1.22675953228677e-06,1.15436422809e-06,1.31677964326237e-06,1.3819118465785e-06
"P38828","YHR121W","LSM12",1.03130292776501e-05,1.14041615751354e-05,1.1667918290166e-05,1.31743291842862e-05
"P38829","YHR122W","YHR122W",2.39573134897685e-05,1.95540391219484e-05,2.34003188468741e-05,2.29735484148865e-05
"P38833","YHR127W","YHR127W",1.30464349171261e-05,1.2792735689438e-05,1.5053965988974e-05,1.4530489888391e-05
"P38836","YHR132C","ECM14",1.86948797477838e-05,2.09687583409465e-05,2.06625472357307e-05,2.29067460655196e-05
"P38837","YHR133C","NSG1",2.64943533950751e-05,2.01835033043745e-05,2.62294199002735e-05,2.75553600809774e-05
"P38840","YHR137W","ARO9",2.84622241274531e-05,2.92084596603364e-05,0.000160186424126875,0.00015361663238974
"P38845","YHR146W","CRP1",6.56010182056428e-06,8.65630683653532e-06,6.79402993036282e-06,7.44875953491793e-06
"P38850","YHR154W","RTT107",1.13214881766847e-05,8.99430560291428e-06,1.20046408353207e-05,1.15983200992522e-05
"P38853","YHR158C","KEL1",4.88192544478356e-05,4.60802175143777e-05,4.98071439457702e-05,4.95801235226592e-05
"P38854","YHR159W","TDA11",8.63986053657004e-08,9.9401331200391e-08,9.77927508393231e-08,9.17069255901455e-08
"P38856","YHR161C","YAP1801",2.43150941354809e-06,1.95552163756452e-06,2.13134229253999e-06,2.0781356185737e-06
"P38858","YHR163W","SOL3",0.000306951791823084,0.000261993905557402,0.000166556981406628,0.000145534477058282
"P38859","YHR164C","DNA2",2.25109015352032e-07,2.51412042633975e-07,2.63299404740175e-07,2.56460339339173e-07
"P38861","YHR170W","NMD3",2.97254814858048e-05,3.04664700268788e-05,3.33721357996216e-05,3.32458907061986e-05
"P38862","YHR171W","ATG7",3.87722139094536e-06,3.243936263677e-06,4.35442328329132e-06,3.65800747604372e-06
"P38863","YHR172W","SPC97",1.94232257057004e-05,1.66559222830781e-05,2.01044074370114e-05,2.04217233368322e-05
"P38866","YHR176W","FMO1",1.08065477341546e-05,1.03795195693738e-05,3.3958933075679e-06,2.96971393543314e-06
"P38869","YHR181W","SVP26",4.08196935887304e-05,3.71515222672322e-05,4.58050370716541e-05,4.13261635152205e-05
"P38870","YHR182W","YHR182W",2.20966906880172e-06,2.14897567461529e-06,2.50047843494147e-06,2.57530303893408e-06
"P38873","YHR186C","KOG1",1.48720476735667e-05,1.34351894695023e-05,1.57583537707189e-05,1.51160845955088e-05
"P38875","YHR188C","GPI16",1.0127963529965e-05,1.14023127801231e-05,1.18027325022402e-05,1.11305543361863e-05
"P38877","YHR191C","CTF8",7.15108671631452e-07,9.52026458125315e-07,7.92949410546627e-07,8.01644276039236e-07
"P38878","YHR192W","LNP1",1.54295716181518e-06,1.35315969168294e-06,1.59875559258417e-06,1.6015926351018e-06
"P38879","YHR193C","EGD2",0.000403806551553303,0.000387673099074594,0.000431460382021656,0.000455504705920866
"P38882","YHR196W","UTP9",3.95000584849402e-05,2.86022048963093e-05,4.4545699368296e-05,4.48625930962514e-05
"P38883","YHR197W","RIX1",2.92966509391912e-05,2.28350807600657e-05,3.58011690743851e-05,3.47045754310136e-05
"P38884","YHR198C","AIM18",1.85011802487592e-05,1.5487851034251e-05,1.9388021783208e-05,1.91359674070204e-05
"P38885","YHR199C","AIM46",3.12887886481209e-07,3.06429049635207e-07,3.47872636062728e-07,3.81468882462153e-07
"P38886","YHR200W","RPN10",0.000325990444762628,0.000248664196578289,0.000338349363599353,0.000336077308353626
"P38887","YHR202W","YHR202W",1.11114219081445e-05,9.39315229408797e-06,9.22518190126438e-06,1.11560216819706e-05
"P38888","YHR204W","MNL1",3.21270583843361e-05,2.64073997041985e-05,3.52316566431919e-05,3.41032338202539e-05
"P38889","YHR206W","SKN7",1.28933983756578e-05,1.12579079453432e-05,1.35636163637249e-05,1.50899845701791e-05
"P38890","YHR207C","SET5",8.41179024667917e-06,8.30153054450635e-06,8.85167998276424e-06,8.32600287495478e-06
"P38891","YHR208W","BAT1",0.000737467071161632,0.000775099413704834,0.000202263798172938,0.000205410527938057
"P38902","YOL005C","RPB11",7.61075950991099e-05,6.03132593404189e-05,7.94670552360006e-05,8.1530361555325e-05
"P38903","YOR014W","RTS1",2.11369673728662e-05,1.75020656462334e-05,2.32157399316378e-05,2.31395906526085e-05
"P38904","YDR464W","SPP41",1.96514398384323e-06,1.78189086148536e-06,2.13922792181142e-06,2.10577574485751e-06
"P38910","YOR020C","HSP10",0.000420755610045904,0.000512493344451333,0.000483088627988329,0.000468820546264964
"P38911","YML074C","FPR3",0.000100734286925802,9.33623354234852e-05,0.000172320170872662,0.000171630579282806
"P38912","YMR260C","TIF11",0.000248287437390137,0.000238094981965765,0.000258182145609405,0.000266206544420155
"P38913","YDL045C","FAD1",2.48730460415203e-06,1.75183697453669e-06,2.64530101743809e-06,2.68537045810034e-06
"P38915","YLR055C","SPT8",3.99243406077445e-06,3.64896574014911e-06,3.92080437227097e-06,4.13502462155041e-06
"P38920","YMR167W","MLH1",3.10656551309026e-06,2.50227803328479e-06,3.58145148538086e-06,3.3126269914927e-06
"P38922","YNL004W","HRB1",1.40456978925587e-06,1.34536101948459e-06,1.42949651284174e-06,1.45735954738543e-06
"P38925","YOL122C","SMF1",2.97389365224951e-06,2.75269320977845e-06,4.45218655272895e-06,4.54976157539335e-06
"P38928","YIL140W","AXL2",1.05785131678094e-06,9.69585165520772e-07,1.18756908171902e-06,1.25644193589363e-06
"P38929","YGL006W","PMC1",5.85320922025672e-05,5.36671856380685e-05,7.04350783271738e-05,6.84498566319905e-05
"P38930","YOR039W","CKB2",1.95334300985887e-05,1.60365721212834e-05,1.95326008903398e-05,1.92421542837701e-05
"P38931","YDR443C","SSN2",1.06664541502946e-06,1.03350274787581e-06,1.2758918494375e-06,1.33433613123597e-06
"P38932","YGL095C","VPS45",8.63448636283432e-06,7.94194740220578e-06,9.18511560718075e-06,9.39352871738826e-06
"P38934","YOR198C","BFR1",0.000311888612571949,0.000365143575114693,0.000583926436470096,0.000601583455386114
"P38954","YDR072C","IPT1",2.9051466121176e-07,2.57486456499056e-07,3.77852564203311e-07,3.76273309885967e-07
"P38959","YDR080W","VPS41",3.91246177913181e-06,3.33104834465042e-06,4.02735684805308e-06,3.74853513719458e-06
"P38961","YDR083W","RRP8",2.30303857479161e-05,1.94800012550985e-05,2.8529362424601e-05,2.86167380162727e-05
"P38962","YDR084C","TVP23",2.19821811190749e-05,1.98697380475211e-05,2.2537989502316e-05,2.32930375612132e-05
"P38966","YDR089W","YDR089W",2.03777923815591e-05,1.73190978826549e-05,1.94381173500755e-05,1.96022389577166e-05
"P38968","YDL195W","SEC31",0.000333567886842587,0.000289299693905974,0.000355723924336854,0.000347993024817479
"P38969","YOR266W","PNT1",1.27068391799001e-05,9.91968913615832e-06,1.37776119899657e-05,1.33373445581922e-05
"P38970","YJL165C","HAL5",2.6413969831201e-06,2.54494855362997e-06,2.96704748791552e-06,3.14268385169569e-06
"P38972","YGR061C","ADE6",0.00104757555855146,0.000930849658130682,0.00118154489025428,0.00114440522686845
"P38985","YDL092W","SRP14",3.39776239737953e-05,3.8517242693008e-05,4.01725511980349e-05,3.94993288910719e-05
"P38986","YDR321W","ASP1",3.53475133543906e-05,4.34499301107105e-05,4.00684213153382e-05,4.17992125295342e-05
"P38988","YDL198C","GGC1",0.000506548689635483,0.000474561266010503,0.000228846024749355,0.000239558522652176
"P38989","YFR031C","SMC2",7.50009593057238e-06,6.4714268005649e-06,9.02743414545338e-06,7.32870871055078e-06
"P38991","YPL209C","IPL1",5.89651096540032e-07,7.4055557190307e-07,6.64907321843572e-07,7.05003342122085e-07
"P38992","YDR297W","SUR2",8.85589014425197e-07,9.64856224048499e-07,1.01597476431658e-06,1.10881808084628e-06
"P38993","YMR058W","FET3",2.52349654906415e-05,3.08093816166363e-05,2.6368867866356e-05,2.73717458624895e-05
"P38994","YDR208W","MSS4",5.38157355047553e-06,4.54577659994835e-06,5.69116307980274e-06,5.45273337035304e-06
"P38995","YDR270W","CCC2",2.68171845507722e-06,2.65948428136564e-06,2.98784023571195e-06,3.31636593723487e-06
"P38996","YPL190C","NAB3",4.79302589711908e-05,4.56491964356041e-05,5.57715403472691e-05,5.83822586661107e-05
"P38998","YIR034C","LYS1",0.000980680486717887,0.00108406342652752,0.000128914641851345,0.000134381050223537
"P38999","YNR050C","LYS9",0.00131311424424233,0.00114596350719941,0.000187970112227812,0.000182629746199081
"P39002","YIL009W","FAA3",2.58486706975739e-05,2.10748086734416e-05,2.48007034890707e-05,2.53449734614534e-05
"P39004","YDR342C","HXT7",6.98901897028157e-05,6.06260949916555e-05,0.000159354576148076,0.00015940015328972
"P39006","YNL169C","PSD1",1.31898958692722e-05,1.18191231501781e-05,1.542394791747e-05,1.60377379794595e-05
"P39007","YGL022W","STT3",8.58095487309718e-05,7.60062494231593e-05,0.000101961458871609,9.55984511204273e-05
"P39008","YNR052C","POP2",1.33642864626846e-05,1.20275663228333e-05,1.4072652054867e-05,1.42762628986186e-05
"P39009","YDL101C","DUN1",8.17468832153087e-06,6.94746998734396e-06,8.24599734060222e-06,8.47814868862629e-06
"P39010","YDR264C","AKR1",5.45351138810317e-05,4.76204395274683e-05,5.66636102016361e-05,5.76796810709307e-05
"P39011","YPL161C","BEM4",2.15823436197679e-05,1.80956124931486e-05,2.11068994087942e-05,2.1087980022172e-05
"P39012","YLR088W","GAA1",3.27828362983839e-05,2.80741929461971e-05,3.5947688587182e-05,3.63765726947532e-05
"P39013","YNL084C","END3",7.69123810645677e-05,6.52343550667511e-05,8.12955184032915e-05,8.43546705449933e-05
"P39015","YLR150W","STM1",8.85480724278094e-05,0.000101155982192147,9.78640344700091e-05,0.000100375193255263
"P39016","YGL178W","MPT5",5.48186010296027e-06,4.12355419219413e-06,6.13648646445256e-06,6.09200245846709e-06
"P39076","YIL142W","CCT2",0.000245143722152235,0.000210608964762498,0.000300989871633312,0.000293708137012748
"P39077","YJL014W","CCT3",0.000545482991329669,0.000509638242612398,0.000832780927100777,0.00082535664924096
"P39078","YDL143W","CCT4",0.00023279249129841,0.000223771440367104,0.000272675216535951,0.000269957783775118
"P39079","YDR188W","CCT6",0.000250246243422843,0.000220184721786024,0.000281713296387573,0.000293716645663028
"P39081","YDR228C","PCF11",1.70922694484584e-05,1.50642782431119e-05,2.02729252360708e-05,2.0257665648642e-05
"P39101","YER048C","CAJ1",8.53669445572636e-05,6.61500249941772e-05,9.90760478856591e-05,0.000101982935306051
"P39103","YML129C","COX14",6.15798455019501e-06,5.40015874763006e-06,6.85234109865906e-06,7.36950487341501e-06
"P39104","YNL267W","PIK1",1.37244988927589e-05,1.31867888173782e-05,1.47411766118585e-05,1.54000720715267e-05
"P39105","YMR008C","PLB1",6.42539315013882e-05,5.48795385076366e-05,9.05210489853064e-05,9.184790075676e-05
"P39106","YER001W","MNN1",5.18657300004284e-05,5.02254868143158e-05,5.42968895562287e-05,5.45578989172262e-05
"P39107","YPL050C","MNN9",0.000107320925666176,0.000116554272664687,0.000116102558060302,0.000112860786475463
"P39109","YDR135C","YCF1",0.000129103418242976,0.000120475973356115,0.000126758872239506,0.000130747593197004
"P39110","YMR138W","CIN4",5.10415910870366e-06,4.22233455307201e-06,4.87694176415726e-06,5.03811837475725e-06
"P39112","YMR287C","DSS1",8.6372371138953e-06,7.54362895526957e-06,1.00802051766026e-05,9.78091365664401e-06
"P39515","YJL143W","TIM17",4.92126775708366e-05,6.21314027572676e-05,9.65730202881811e-05,0.000104053509684388
"P39516","YJL191W","RPS14B",0.00932827263935397,0.0110577180537532,0.0109692212504011,0.010857664923404
"P39517","YDL160C","DHH1",0.00016952685554219,0.000172987193503917,0.00018775271831682,0.000189472845476536
"P39521","YPR104C","FHL1",1.45244121444419e-07,1.28553819213244e-07,1.31718563708642e-07,1.41581271505576e-07
"P39522","YJR016C","ILV3",0.000980101222552429,0.000878901540816341,0.000376459399670476,0.000323000205404696
"P39524","YAL026C","DRS2",7.42047283599611e-06,7.63816593690217e-06,8.85695973945374e-06,7.17340421301478e-06
"P39525","YER061C","CEM1",1.35553093826224e-05,1.38285741276929e-05,1.32570019751165e-05,1.30922242113945e-05
"P39526","YJL207C","LAA1",3.8315849333478e-05,3.15302307107252e-05,4.06793368455423e-05,3.95558157187597e-05
"P39531","YJL204C","RCY1",1.42687027140475e-05,1.1515395717941e-05,1.55605685750528e-05,1.52994741221647e-05
"P39533","YJL200C","ACO2",0.000693514584602679,0.000928534546076455,0.000193667372834825,0.000205060228358093
"P39535","YJL198W","PHO90",3.07976571369267e-05,3.17486905443968e-05,3.12140325570741e-05,2.96484689589785e-05
"P39538","YJL197W","UBP12",1.98777211021744e-05,1.59080052220433e-05,2.36315881528259e-05,2.2832735216505e-05
"P39540","YJL196C","ELO1",0.000153238555935205,0.000129663012565267,0.000145659003063336,0.000151613839385223
"P39542","YJL193W","YJL193W",6.87687527397195e-07,5.84941245594794e-07,6.70178755549499e-07,7.22088082870056e-07
"P39543","YJL192C","SOP4",3.04396254108961e-06,2.53268989787486e-06,3.22239271957492e-06,3.2233143589339e-06
"P39676","YGR234W","YHB1",0.000648451352796458,0.000582975699036646,0.000963012665259462,0.000975723792751606
"P39677","YJL102W","MEF2",1.53686473349116e-05,2.23825338905985e-05,2.47402386396991e-05,2.15728862321208e-05
"P39682","YML046W","PRP39",8.75924213667396e-06,8.71904610259276e-06,9.66741542325351e-06,1.01928928637416e-05
"P39683","YOR209C","NPT1",0.000172353177472637,0.000183553549665449,0.00017863387357943,0.000183590042275154
"P39685","YMR129W","POM152",1.53141184253644e-05,1.62357527019205e-05,1.601619954103e-05,1.62070684918478e-05
"P39692","YFR030W","MET10",0.00139773870160323,0.00165756821984591,4.58371697059507e-05,5.47466025491733e-05
"P39702","YAL002W","VPS8",9.92780926784624e-07,9.24188274155339e-07,9.68384195781942e-07,8.50995574922414e-07
"P39704","YAL007C","ERP2",3.27038794486068e-05,3.10238150594578e-05,3.89225162761838e-05,3.95947859671153e-05
"P39705","YAR002W","NUP60",1.16906855454985e-06,1.33705719118674e-06,1.26571356488709e-06,1.24085494379151e-06
"P39707","YAR008W","SEN34",3.97734771886235e-06,4.79536864268464e-06,4.55879406809364e-06,4.46282621918771e-06
"P39708","YAL062W","GDH3",6.94883947828166e-06,6.88329966825975e-06,3.49266357685755e-06,3.38035454310869e-06
"P39714","YAL060W","BDH1",5.80032080161664e-05,6.23188245062e-05,4.15328831366725e-05,4.30043019374328e-05
"P39715","YAL059W","ECM1",2.38687062923828e-05,2.66103222480221e-05,2.52170103609031e-05,2.42808777860962e-05
"P39719","YAL053W","FLC2",2.34278911833429e-05,2.05733686428956e-05,2.49116279170282e-05,2.52073871171398e-05
"P39720","YAL051W","OAF1",7.85082679612639e-06,8.15826291020973e-06,1.00614776610066e-05,8.75263176939134e-06
"P39721","YAL049C","AIM2",5.11877769271088e-05,5.85318219367706e-05,6.03127682958096e-05,5.70090999591761e-05
"P39722","YAL048C","GEM1",2.89740814881768e-06,3.48752471596528e-06,3.59508241071547e-06,3.3683391048638e-06
"P39723","YAL047C","SPC72",4.18866745330057e-06,3.76068053590877e-06,4.38788837334701e-06,4.43074661170692e-06
"P39726","YAL044C","GCV3",4.98878257020079e-06,5.98658306702943e-06,4.73170704797998e-06,3.04514218704675e-06
"P39727","YAL042W","ERV46",8.83178178753525e-06,7.14889379153912e-06,9.5718665866453e-06,9.97183975001841e-06
"P39729","YAL036C","RBG1",7.36972706411588e-05,6.63676092443151e-05,8.4425980797474e-05,8.73337904378699e-05
"P39730","YAL035W","FUN12",0.000529222650257455,0.000490644698277413,0.000622885302164938,0.00064151408033923
"P39731","YAL034W-A","MTW1",5.36373790714005e-06,4.20894012240452e-06,5.86495226082678e-06,6.06758607744713e-06
"P39732","YAL031C","GIP4",4.5914797294783e-06,4.0438795027155e-06,4.59764474280156e-06,4.58329924341927e-06
"P39742","YLR292C","SEC72",6.13045140523703e-05,5.19909700805891e-05,7.45084808817581e-05,7.42061003851925e-05
"P39743","YDR388W","RVS167",3.34720882177935e-05,3.07894703121171e-05,3.67219391855288e-05,3.57336131688313e-05
"P39744","YOR206W","NOC2",0.000121042790925295,0.000114526082887333,0.000152584181459019,0.00015366803659573
"P39904","YDR484W","VPS52",8.73321690412517e-06,6.63078695072439e-06,8.066350912579e-06,7.49018805991155e-06
"P39923","YEL062W","NPR2",1.05173505111759e-05,9.62349902824229e-06,1.03930238321616e-05,9.66889541480114e-06
"P39925","YER017C","AFG3",4.59857012945813e-05,3.92354345003801e-05,5.49572307983177e-05,5.1387756827167e-05
"P39926","YMR183C","SSO2",1.2981083549973e-05,1.03016625640262e-05,1.28850618021989e-05,1.20932446012063e-05
"P39927","YGR156W","PTI1",2.33305293755201e-05,1.76912506662511e-05,2.31325727816767e-05,2.08137865856769e-05
"P39928","YIL147C","SLN1",1.12811555939591e-06,9.31239533385351e-07,1.30978131621605e-06,1.34286172934649e-06
"P39929","YLR025W","SNF7",1.79986383260474e-05,2.26695627352864e-05,3.67968280287815e-05,3.60310395263217e-05
"P39931","YLR250W","SSP120",2.99507042949255e-05,2.1292549218698e-05,3.52073408262901e-05,3.31879326149036e-05
"P39935","YGR162W","TIF4631",0.00111904375288098,0.000924706537504808,0.0012751790272441,0.00127442973031053
"P39936","YGL049C","TIF4632",3.51976424054521e-05,3.12897125110011e-05,3.81140701083737e-05,3.79487386146216e-05
"P39938","YGL189C","RPS26A",0.000655082453369296,0.000697245949351798,0.000729602767513385,0.000768033065737754
"P39940","YER125W","RSP5",9.21084431974399e-05,9.52072862901103e-05,9.81354195943117e-05,9.0661218710311e-05
"P39944","YER144C","UBP5",2.04030608816889e-06,1.82038279573679e-06,2.34101000303956e-06,2.34167955735722e-06
"P39945","YER101C","AST2",4.37554714800016e-06,3.40395368706149e-06,2.08516237881734e-06,2.51654697093765e-06
"P39952","YER154W","OXA1",3.72491769040855e-05,3.46769218258481e-05,4.52994216359253e-05,4.69228779366198e-05
"P39954","YER043C","SAH1",0.0102254930363636,0.01017122984867,0.0123592529191044,0.0125763484336156
"P39955","YER047C","SAP1",4.42956278767603e-07,3.96868655210008e-07,4.51037683964011e-07,4.16316649385552e-07
"P39956","YER169W","RPH1",2.05474481543778e-06,2.53350970328267e-06,2.04104451814882e-06,2.23042401240979e-06
"P39958","YER136W","GDI1",0.000177264867815251,0.00018086300899228,0.000189740278741095,0.000198978153613979
"P39960","YER155C","BEM2",2.83899756559134e-05,2.51389105436787e-05,3.58955669176288e-05,3.49631003703311e-05
"P39962","YER123W","YCK3",6.45396426251182e-06,5.54162550946815e-06,6.91247842539929e-06,6.69050549467983e-06
"P39965","YER087W","AIM10",1.07854722101413e-05,1.02024832717568e-05,1.22787822075527e-05,1.29965614904206e-05
"P39966","YER089C","PTC2",4.62189189341508e-05,4.64999040056416e-05,4.63664770194462e-05,4.7774118443531e-05
"P39968","YEL013W","VAC8",0.000129274672075048,0.000109166915750862,0.000123158942728769,0.000121855100487332
"P39969","YER114C","BOI2",8.83613013820727e-06,8.91465662382625e-06,8.91505755855125e-06,8.98112308390906e-06
"P39976","YEL071W","DLD3",0.00149116222054286,0.00203140373848066,0.000349773534743717,0.000391350915160539
"P39979","YEL066W","HPA3",4.36465551706448e-05,4.45569180830515e-05,3.74511712942713e-05,4.06658595495073e-05
"P39984","YEL056W","HAT2",4.22986625369285e-06,5.09131890281269e-06,4.58404452884438e-06,4.74249873405845e-06
"P39985","YEL055C","POL5",0.00012448920232136,0.000102390992672272,0.000142744047427956,0.000142664481809986
"P39986","YEL031W","SPF1",0.000236653593758919,0.000242023287509045,0.000249323297717167,0.000249197768212052
"P39988","YEL029C","BUD16",1.42794474965698e-05,7.84037115817755e-06,1.09978222834007e-05,1.04082743780819e-05
"P39990","YEL026W","SNU13",0.000151214810270809,0.000144916422626365,0.000159172600066419,0.000172365782069341
"P39993","YEL022W","GEA2",5.51787481384424e-05,4.2135983670962e-05,6.24330244310588e-05,6.31662404160706e-05
"P39995","YEL018W","EAF5",9.65896566454882e-08,7.95821502496204e-08,9.68337961694939e-08,9.11455822903278e-08
"P39996","YEL017W","GTT3",2.2870023025087e-06,1.97212529902138e-06,2.15787492322092e-06,2.14188831353802e-06
"P39998","YEL015W","EDC3",3.58936351922104e-05,4.2972790801262e-05,4.0860295573992e-05,4.21442616601395e-05
"P40005","YEL003W","GIM4",3.08447327106855e-05,2.48590106664237e-05,3.30806428885096e-05,3.03251629814427e-05
"P40007","YER002W","NOP16",1.74233355746358e-06,1.87811626517625e-06,2.23651715154197e-06,2.21428979946354e-06
"P40008","YER004W","FMP52",0.000169985297536829,0.000228410503121336,0.000194940662118021,0.000223329230032548
"P40010","YER006W","NUG1",0.000275307349716183,0.000265766721924184,0.000314227724505436,0.000309292170354597
"P40012","YER014W","HEM14",1.11935389915349e-05,1.08057439879359e-05,1.31130385819503e-05,1.27768722640813e-05
"P40013","YER016W","BIM1",1.71727549803331e-06,1.52447311016821e-06,1.63007396450058e-06,1.63675176503127e-06
"P40015","YER019W","ISC1",6.96781406118219e-06,5.63142806608134e-06,7.13411250677869e-06,6.85842158284829e-06
"P40016","YER021W","RPN3",0.000296118467539188,0.000240073147279828,0.000309634785586688,0.000283485826516334
"P40017","YER024W","YAT2",3.71091353033607e-05,3.38043967825187e-05,4.54201304808126e-05,4.49432761602671e-05
"P40018","YER029C","SMB1",9.55421741321625e-06,1.04844896393812e-05,1.01006148566813e-05,1.05323574983382e-05
"P40019","YER030W","CHZ1",4.22246966565325e-06,3.53321322363338e-06,4.78523154682121e-06,4.54073449638559e-06
"P40024","YER036C","ARB1",0.000527153882761208,0.00060346560866112,0.000632678457146761,0.000668846246134625
"P40029","YER042W","MXR1",5.8605841712412e-05,6.63472337697288e-05,2.62385876448964e-05,2.80991538725091e-05
"P40030","YER044C","ERG28",0.000109678779360416,0.000110874471233716,0.000156802822962615,0.000140514772378684
"P40032","YER049W","TPA1",4.2222632009354e-05,3.99077941050629e-05,4.30242780901878e-05,4.42073723585643e-05
"P40035","YER053C","PIC2",9.11761274883165e-06,7.61779956451418e-06,9.18516416062687e-06,9.0289245105287e-06
"P40037","YER057C","HMF1",0.000530512325953663,0.00047003273979285,0.000339053751596506,0.00034556998127453
"P40038","YER059W","PCL6",2.35961739876922e-06,2.37595848562985e-06,2.51292251827149e-06,2.8768508703613e-06
"P40040","YER063W","THO1",0.000134334061032172,0.00012906435980952,8.20067915140701e-05,7.85453012419112e-05
"P40041","YER064C","VHR2",1.14836593613787e-07,9.76492843405164e-08,1.34694526945915e-06,1.34342897422609e-06
"P40045","YER071C","TDA2",8.68070817270911e-07,7.34161463936501e-07,9.96923312817289e-07,9.79067386039276e-07
"P40047","YER073W","ALD5",0.000230709931914674,0.000220903996043922,5.29113997378866e-05,6.02739810805059e-05
"P40050","YER077C","MRX1",4.76275767525925e-06,4.27932013340736e-06,5.57880305594718e-06,5.86113036572926e-06
"P40051","YER078C","ICP55",1.36351995963777e-05,1.5571324810398e-05,1.64516021159948e-05,1.71009093579441e-05
"P40053","YER080W","AIM9",6.62430238441417e-05,7.29342421026921e-05,7.88255574487226e-05,8.11347820772075e-05
"P40054","YER081W","SER3",0.00039669376786777,0.000458491015865023,0.000559342158883878,0.000586221628456636
"P40055","YER082C","UTP7",1.0519855788169e-05,1.18744264512408e-05,1.37371370612921e-05,1.37522740792074e-05
"P40056","YER083C","GET2",1.88642806617692e-05,1.57004240253544e-05,1.85643665030336e-05,1.93646108788699e-05
"P40061","YER093C","TSC11",8.65159226857204e-06,7.14705034660865e-06,9.40928077999836e-06,9.79659578979976e-06
"P40064","YER105C","NUP157",7.21241351449277e-05,5.72821132296735e-05,7.74950045229681e-05,7.38209860472542e-05
"P40069","YER110C","KAP123",0.00173709722311774,0.0013505901894087,0.00221166602584683,0.00211519050796793
